Version1,Version2,Version3
Standard_A0,N/A,N/A
Standard_A1,Standard_A1_v2,N/A
Standard_A2,Standard_A2_v2,N/A
Standard_A3,Standard_A4_v2,N/A
Standard_A4,Standard_A8_v2,N/A
Standard_A5,Standard_A2m_v2,N/A
Standard_A6,Standard_A4m_v2,N/A
Standard_A7,Standard_A8m_v2,N/A
Standard_A8,Standard_A8m_v2,N/A
Standard_A9,N/A,N/A
Standard_A10,Standard_A8m_v2,N/A
Standard_A11,N/A,N/A
Standard_B1S,N/A,N/A
Standard_B2S,N/A,N/A
Standard_B1MS,N/A,N/A
Standard_B2MS,N/A,N/A
Standard_B4MS,N/A,N/A
Standard_B8MS,N/A,N/A
Standard_D1,Standard_D1_v2,N/A
Standard_D2,Standard_D2_v2,Standard_D2_v3
Standard_D3,Standard_D3_v2,Standard_D4_v3
Standard_D4,Standard_D4_v2,Standard_D8_v3
N/A,Standard_D5_v2,Standard_D16_v3
N/A,N/A,Standard_D32_v3
N/A,N/A,Standard_D64_v3
Standard_D11,Standard_D11_v2,Standard_E2_v3
Standard_D12,Standard_D12_v2,Standard_E4_v3
Standard_D13,Standard_D13_v2,Standard_E8_v3
Standard_D14,Standard_D14_v2,Standard_E16_v3
N/A,Standard_D15_v2,N/A
N/A,N/A,Standard_E32_v3
N/A,N/A,Standard_E62_v3
N/A,Standard_DS1_v2,N/A
N/A,Standard_DS2_v2,Standard_D2s_v3
N/A,Standard_DS3_v2,Standard_D4s_v3
N/A,Standard_DS4_V2,Standard_D8s_v3
N/A,Standard_DS5_v2,Standard_D16s_v3
N/A,N/A,Standard_D32s_v3
N/A,N/A,Standard_D64s_v3
N/A,Standard_DS11_v2,Standard_E2s_v3
N/A,Standard_DS12_v2,Standard_E4s_v3
N/A,Standard_DS13_v2,Standard_E8s_v3
N/A,Standard_DS14_v2,Standard_E16s_v3
N/A,Standard_DS15_v2,N/A
Standard_F1,N/A,N/A
Standard_F2,Standard_F2_v2,N/A
Standard_F4,Standard_F4_v2,N/A
Standard_F8,Standard_F8_v2,N/A
Standard_F16,Standard_F16_v2,N/A
N/A,Standard_F32_v2,N/A
N/A,Standard_F64_v2,N/A
N/A,Standard_F72_v2,N/A